Animal ID,Name_Intake,Intake Type,Intake Condition,Animal Type_Intake,Breed_Intake,Color_Intake,Date of Birth,Age upon Intake,DateTime_Intake,DateTime_Outcome,Age upon Outcome,Sex_Intake,Sex_State_Intake,Sex_Outcome,Sex_State_Outcome,found_Address_Line1,found_Address_City,found_Address_State,recidence_Time_Ratio,binary_outcome
A815749,Unknown,Wildlife,Injured,Other,Bat,Brown,2019-03-24 00:00:00,52,2020-03-24 17:45:00,2020-03-24 18:52:00,52,Unknown,Unknown,Unknown,Unknown,611 E 6Th St,Austin,TX,367,0
A815748,Unknown,Stray,Injured,Cat,Domestic Shorthair,Brown Tabby,2020-03-18 00:00:00,0,2020-03-24 17:13:00,2020-03-24 18:32:00,0,Intact,Male,Intact,Male,12520 Mexicana Cv,Travis,TX,7,0
A815747,Unknown,Stray,Injured,Cat,Domestic Shorthair,Brown Tabby,2020-03-18 00:00:00,0,2020-03-24 17:13:00,2020-03-24 18:31:00,0,Intact,Male,Intact,Male,12520 Mexicana Cv,Travis,TX,7,0
A815746,Unknown,Stray,Injured,Cat,Domestic Shorthair,Orange Tabby,2020-03-16 00:00:00,1,2020-03-24 17:13:00,2020-03-24 18:31:00,1,Intact,Male,Intact,Male,12520 Mexicana Cv,Travis,TX,9,1
A815745,Unknown,Stray,Injured,Cat,Domestic Shorthair,Brown Tabby,2020-03-16 00:00:00,1,2020-03-24 17:13:00,2020-03-24 18:30:00,1,Intact,Female,Intact,Female,12520 Mexicana Cv,Travis,TX,9,1
A815739,Lola,Owner Surrender,Normal,Dog,German Shepherd,Black,2015-03-24 00:00:00,261,2020-03-24 15:43:00,2020-03-26 11:14:00,261,Intact,Female,Intact,Female,5013 Copperbend Boulevard,Austin,TX,914,1
A815735,Unknown,Wildlife,Sick,Other,Bat,Black,2019-03-24 00:00:00,52,2020-03-24 13:45:00,2020-03-24 14:07:00,52,Unknown,Unknown,Unknown,Unknown,110 Inner Campus Dr,Austin,TX,367,0
A815729,Unknown,Wildlife,Sick,Other,Raccoon,Black,2018-03-24 00:00:00,104,2020-03-24 12:22:00,2020-03-24 13:44:00,104,Unknown,Unknown,Unknown,Unknown,1301 Brentwood Street,Austin,TX,732,0
A815721,Unknown,Wildlife,Normal,Other,Bat,Brown,2019-03-23 00:00:00,52,2020-03-23 23:57:00,2020-03-24 09:17:00,52,Unknown,Unknown,Unknown,Unknown,6800 Mcneil Dr,Austin,TX,367,0
A815716,Unknown,Stray,Injured,Cat,Domestic Longhair,Gray Tabby,2017-03-23 00:00:00,156,2020-03-23 21:35:00,2020-03-24 09:21:00,156,Intact,Male,Intact,Male,7640 Guadalupe,Austin,TX,1097,0
A815715,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Gray,2020-03-08 00:00:00,2,2020-03-23 19:13:00,2020-03-24 11:22:00,2,Intact,Male,Intact,Male,1601 Montopolis Dr,Austin,TX,16,1
A815714,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Gray,2020-03-08 00:00:00,2,2020-03-23 19:13:00,2020-03-24 11:22:00,2,Intact,Female,Intact,Female,1601 Montopolis Dr,Austin,TX,16,1
A815708,Unknown,Stray,Normal,Dog,Rhod Ridgeback,Brown,2019-06-23 00:00:00,39,2020-03-23 16:35:00,2020-03-27 15:05:00,39,Intact,Female,Intact,Female,5408 Sugar Maple Court,Austin,TX,69,1
A815688,Sofia,Stray,Normal,Dog,Yorkshire Terrier,Brown,2016-03-23 00:00:00,208,2020-03-23 12:21:00,2020-03-24 14:55:00,208,Spayed,Female,Spayed,Female,2500 Montopolis,Austin,TX,731,1
A815686,Franklin,Stray,Normal,Dog,Yorkshire Terrier,Brown,2014-08-13 00:00:00,292,2020-03-23 12:21:00,2020-03-24 14:53:00,292,Neutered,Male,Neutered,Male,2500 Montopolis,Austin,TX,1025,1
A815679,Unknown,Stray,Normal,Cat,Domestic Shorthair,White,2020-03-20 00:00:00,0,2020-03-23 10:05:00,2020-03-23 18:56:00,0,Intact,Female,Intact,Female,10513 Robinwood Circle,Austin,TX,4,1
A815676,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-23 00:00:00,104,2020-03-23 08:26:00,2020-03-23 10:11:00,104,Unknown,Unknown,Unknown,Unknown,801 E William Cannon,Austin,TX,732,0
A815673,Unknown,Wildlife,Normal,Other,Bat,Brown,2019-03-22 00:00:00,52,2020-03-22 18:30:00,2020-03-23 10:15:00,52,Unknown,Unknown,Unknown,Unknown,2601 Cardinal Loop,Travis,TX,367,0
A815662,Duchess,Stray,Normal,Dog,Rottweiler,Black,2018-02-14 00:00:00,109,2020-03-22 14:48:00,2020-03-24 14:55:00,109,Intact,Female,Intact,Female,Unknown address,Austin,TX,256,1
A815658,Unknown,Wildlife,Normal,Other,Bat,Black,2018-03-22 00:00:00,104,2020-03-22 13:27:00,2020-03-22 16:15:00,104,Intact,Male,Intact,Male,19805 Dornick Hills Ln,Travis,TX,732,0
A815650,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Black,2020-03-17 00:00:00,0,2020-03-22 10:42:00,2020-03-22 10:44:00,0,Intact,Female,Intact,Female,1156 West Cesar Chavez,Austin,TX,6,1
A815640,Unknown,Wildlife,Sick,Other,Skunk,Black,2018-03-21 00:00:00,104,2020-03-21 17:09:00,2020-03-22 07:48:00,104,Unknown,Unknown,Unknown,Unknown,17112 Rockridge,Austin,TX,732,0
A815629,Draco,Public Assist,Normal,Dog,Labrador Retriever,Black,2019-08-21 00:00:00,30,2020-03-21 12:40:00,2020-03-22 17:35:00,30,Neutered,Male,Neutered,Male,Unknown address,Austin,TX,107,1
A815621,Unknown,Stray,Injured,Cat,Domestic Shorthair,White,2018-03-21 00:00:00,104,2020-03-21 09:07:00,2020-03-21 13:53:00,104,Intact,Female,Intact,Female,5504 Stuart Circle,Austin,TX,732,0
A815619,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-20 00:00:00,104,2020-03-20 20:17:00,2020-03-22 07:47:00,104,Unknown,Unknown,Unknown,Unknown,1910 San Jacinto,Austin,TX,366,0
A815618,Unknown,Abandoned,Normal,Dog,Dachshund Wirehair,Red,2019-03-23 00:00:00,51,2020-03-20 17:33:00,2020-03-24 09:55:00,52,Intact,Female,Intact,Female,Unknown address,Austin,TX,91,1
A815616,Unknown,Abandoned,Normal,Dog,Dachshund Wirehair Mix,Red,2019-10-24 00:00:00,21,2020-03-20 17:33:00,2020-03-24 09:56:00,21,Intact,Male,Intact,Male,Unknown address,Austin,TX,37,1
A815615,Unknown,Abandoned,Normal,Dog,Dachshund Mix,Red,2019-12-20 00:00:00,13,2020-03-20 17:33:00,2020-03-24 09:56:00,13,Intact,Female,Intact,Female,Unknown address,Austin,TX,23,1
A815614,Unknown,Abandoned,Normal,Dog,Dachshund Mix,Black,2019-12-20 00:00:00,13,2020-03-20 17:33:00,2020-03-24 09:55:00,13,Intact,Female,Intact,Female,Unknown address,Austin,TX,23,1
A815611,Rona,Stray,Injured,Dog,Dachshund,Buff,2018-03-20 00:00:00,104,2020-03-20 17:17:00,2020-03-23 18:49:00,104,Spayed,Female,Spayed,Female,2401 Bitter Creek,Austin,TX,183,1
A815586,Unknown,Stray,Sick,Dog,Chihuahua Shorthair,Black,2020-01-05 00:00:00,10,2020-03-20 12:02:00,2020-03-23 17:25:00,11,Intact,Female,Intact,Female,6611 Vougeot Drive,Austin,TX,19,1
A815575,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-19 00:00:00,104,2020-03-19 16:18:00,2020-03-19 17:54:00,104,Unknown,Unknown,Unknown,Unknown,1030 Norwood Park Blvd,Austin,TX,732,0
A815572,Unknown,Public Assist,Nursing,Dog,Labrador Retriever,Blue,2020-03-13 00:00:00,-1,2020-03-12 13:17:00,2020-03-24 15:04:00,1,Unknown,Unknown,Unknown,Unknown,Unknown address,Austin,TX,0,1
A815571,Unknown,Public Assist,Nursing,Dog,Labrador Retriever,Blue,2020-03-13 00:00:00,-1,2020-03-12 13:17:00,2020-03-24 15:03:00,1,Unknown,Unknown,Unknown,Unknown,Unknown address,Austin,TX,0,1
A815568,Unknown,Wildlife,Sick,Other,Bat,Brown,2018-03-19 00:00:00,104,2020-03-19 13:24:00,2020-03-23 09:06:00,105,Unknown,Unknown,Unknown,Unknown,610 E 11Th St,Austin,TX,183,0
A815565,Taylor,Stray,Injured,Dog,Cocker Spaniel,Black,2006-03-19 00:00:00,730,2020-03-19 08:42:00,2020-03-19 14:21:00,730,Spayed,Female,Spayed,Female,1900 Tasmanian Tiger Trace,Travis,TX,5115,1
A815562,Unknown,Wildlife,Normal,Other,Bat,Brown,2019-03-19 00:00:00,52,2020-03-19 01:24:00,2020-03-19 09:27:00,52,Unknown,Unknown,Unknown,Unknown,Unknown address,Austin,TX,367,0
A815561,Unknown,Wildlife,Injured,Other,Bat,Brown,2019-03-18 00:00:00,52,2020-03-18 20:56:00,2020-03-19 09:27:00,52,Unknown,Unknown,Unknown,Unknown,14231 Tandem,Travis,TX,367,0
A815558,Unknown,Wildlife,Injured,Other,Bat,Brown,2019-03-18 00:00:00,52,2020-03-18 20:43:00,2020-03-23 09:07:00,53,Unknown,Unknown,Unknown,Unknown,2432 Emmett Pkwy,Austin,TX,73,0
A815553,Unknown,Wildlife,Sick,Other,Bat,Brown,2018-03-18 00:00:00,104,2020-03-18 17:38:00,2020-03-18 18:30:00,104,Unknown,Unknown,Unknown,Unknown,1201 W 38Th St,Austin,TX,732,0
A815548,Unknown,Stray,Injured,Dog,Rat Terrier,Tricolor,2019-03-18 00:00:00,52,2020-03-18 16:38:00,2020-03-22 13:46:00,52,Intact,Male,Intact,Male,Arthur Stiles Road And Thurgood Avenue,Austin,TX,92,0
A815547,Unknown,Wildlife,Sick,Other,Bat,Brown,2018-03-18 00:00:00,104,2020-03-18 16:35:00,2020-03-18 17:09:00,104,Unknown,Unknown,Unknown,Unknown,2219 W Ben White Blvd,Austin,TX,732,0
A815540,Unknown,Abandoned,Normal,Other,Guinea Pig,Red,2019-03-18 00:00:00,52,2020-03-18 13:28:00,2020-03-20 11:55:00,52,Unknown,Unknown,Unknown,Unknown,1156 West Cesar Chavez,Austin,TX,184,1
A815539,Unknown,Abandoned,Normal,Other,Guinea Pig,Red,2019-03-18 00:00:00,52,2020-03-18 13:28:00,2020-03-20 11:53:00,52,Unknown,Unknown,Unknown,Unknown,1156 West Cesar Chavez,Austin,TX,184,1
A815536,Tank,Public Assist,Normal,Dog,Pit Bull,Brown,2019-04-18 00:00:00,47,2020-03-18 12:13:00,2020-03-24 11:49:00,48,Intact,Male,Intact,Male,5812 N I-35,Austin,TX,56,1
A815533,#5,Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,2020-03-18 00:00:00,0,2020-03-18 09:40:00,2020-03-18 13:37:00,0,Intact,Female,Intact,Female,Unknown address,Austin,TX,1,1
A815532,#4,Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Blue Tabby,2020-03-18 00:00:00,0,2020-03-18 09:40:00,2020-03-18 13:37:00,0,Intact,Female,Intact,Female,Unknown address,Austin,TX,1,1
A815531,#3,Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Blue Tabby,2020-03-18 00:00:00,0,2020-03-18 09:40:00,2020-03-18 13:36:00,0,Intact,Male,Intact,Male,Unknown address,Austin,TX,1,1
A815530,#2,Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,2020-03-18 00:00:00,0,2020-03-18 09:40:00,2020-03-18 13:36:00,0,Intact,Male,Intact,Male,Unknown address,Austin,TX,1,1
A815529,#1,Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,2020-03-18 00:00:00,0,2020-03-18 09:40:00,2020-03-18 13:36:00,0,Intact,Male,Intact,Male,Unknown address,Austin,TX,1,1
A815525,Jack,Abandoned,Normal,Cat,Domestic Shorthair Mix,Black,2018-03-17 00:00:00,104,2020-03-17 21:45:00,2020-03-20 00:00:00,104,Spayed,Female,Spayed,Female,7201 Levander Loop,Austin,TX,244,1
A815514,Simon,Public Assist,Normal,Cat,Domestic Shorthair,Black,2019-04-17 00:00:00,48,2020-03-19 14:48:00,2020-03-20 13:24:00,48,Intact,Male,Intact,Male,Unknown address,Austin,TX,338,1
A815510,Unknown,Stray,Normal,Dog,Anatol Shepherd Mix,Brown,2020-01-04 00:00:00,10,2020-03-17 15:51:00,2020-03-20 11:16:00,10,Intact,Male,Intact,Male,1201 West Live Oak Street,Austin,TX,25,1
A815505,Luca,Stray,Normal,Dog,Labrador Retriever Mix,Tan,2014-09-17 00:00:00,286,2020-03-17 14:45:00,2020-03-17 16:28:00,286,Neutered,Male,Neutered,Male,Hudson St,Austin,TX,2009,1
A815500,Unknown,Wildlife,Normal,Other,Bat,Brown,2018-03-17 00:00:00,104,2020-03-17 12:04:00,2020-03-17 12:49:00,104,Unknown,Unknown,Unknown,Unknown,1208 W 38Th St,Austin,TX,732,0
A815499,Unknown,Wildlife,Injured,Other,Opossum,White,2018-03-17 00:00:00,104,2020-03-17 10:36:00,2020-03-17 16:26:00,104,Intact,Male,Intact,Male,8902 Curlew Dr,Austin,TX,732,0
A815492,Unknown,Wildlife,Normal,Other,Bat,Brown,2019-03-16 00:00:00,52,2020-03-16 22:48:00,2020-03-18 10:55:00,52,Unknown,Unknown,Unknown,Unknown,100 S Congress Ave,Austin,TX,184,0
A815488,Unknown,Abandoned,Normal,Cat,Domestic Shorthair Mix,Torbie,2018-03-16 00:00:00,104,2020-03-16 18:34:00,2020-03-18 13:45:00,104,Intact,Female,Intact,Female,2002 East Stassney Lane,Austin,TX,366,1
A815481,Unknown,Wildlife,Normal,Other,Bat,Black,2018-03-16 00:00:00,104,2020-03-16 16:48:00,2020-03-17 08:51:00,104,Unknown,Unknown,Unknown,Unknown,5555 North Lamar,Austin,TX,732,0
A815478,Unknown,Wildlife,Sick,Other,Raccoon,Brown,2019-03-16 00:00:00,52,2020-03-16 16:16:00,2020-03-16 16:46:00,52,Unknown,Unknown,Unknown,Unknown,2021 Cueva De Oro,Austin,TX,367,0
A815470,Rojo,Stray,Normal,Dog,Leonberger,Brown,2018-03-16 00:00:00,104,2020-03-16 12:28:00,2020-03-17 19:13:00,104,Intact,Male,Intact,Male,5400 Coventry Ln,Austin,TX,366,1
A815469,Remo,Stray,Normal,Dog,Plott Hound,Black,2019-03-17 00:00:00,52,2020-03-16 12:28:00,2020-03-17 19:14:00,52,Intact,Male,Intact,Male,5400 Coventry Ln,Austin,TX,183,1
A815467,Spot,Stray,Normal,Dog,Maltese Mix,White,2013-03-16 00:00:00,365,2020-03-16 10:59:00,2020-03-16 12:24:00,365,Neutered,Male,Neutered,Male,1143 Shady Lane,Austin,TX,2558,1
A815466,Rosie,Public Assist,Normal,Dog,Beagle Mix,White,2018-03-16 00:00:00,104,2020-03-16 10:14:00,2020-03-16 14:34:00,104,Intact,Female,Intact,Female,2000 East Riverside Drive,Austin,TX,732,1
A815463,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Calico,2020-03-04 00:00:00,1,2020-03-16 08:22:00,2020-03-18 13:45:00,2,Intact,Female,Intact,Female,9218 Balcones Club Dr,Austin,TX,4,1
A815462,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Cream Tabby,2020-03-04 00:00:00,1,2020-03-16 08:22:00,2020-03-18 13:44:00,2,Intact,Female,Intact,Female,9218 Balcones Club Dr,Austin,TX,4,1
A815461,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Cream Tabby,2020-03-04 00:00:00,1,2020-03-16 08:22:00,2020-03-18 13:44:00,2,Intact,Female,Intact,Female,9218 Balcones Club Dr,Austin,TX,4,1
A815460,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Brown Tabby,2020-03-04 00:00:00,1,2020-03-16 08:22:00,2020-03-18 13:43:00,2,Intact,Male,Intact,Male,9218 Balcones Club Dr,Austin,TX,4,1
A815459,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Calico,2020-03-04 00:00:00,1,2020-03-16 08:22:00,2020-03-18 13:43:00,2,Intact,Female,Intact,Female,9218 Balcones Club Dr,Austin,TX,4,1
A815458,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Calico,2017-03-16 00:00:00,156,2020-03-16 08:22:00,2020-03-18 13:43:00,156,Intact,Female,Intact,Female,9218 Balcones Club Dr,Austin,TX,366,1
A815457,Mustard,Stray,Injured,Cat,Domestic Shorthair,Blue Tabby,2019-11-16 00:00:00,17,2020-03-16 08:01:00,2020-03-21 13:38:00,18,Intact,Female,Spayed,Female,1701 Mill St,Austin,TX,20,1
A815441,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Brown Tabby,2020-03-12 00:00:00,0,2020-03-15 16:45:00,2020-03-15 18:33:00,0,Intact,Male,Intact,Male,13101 Rochester Lane,Austin,TX,4,1
A815440,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Brown Tabby,2020-03-12 00:00:00,0,2020-03-15 16:45:00,2020-03-15 18:33:00,0,Intact,Male,Intact,Male,13101 Rochester Lane,Austin,TX,4,1
A815439,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Brown Tabby,2020-03-12 00:00:00,0,2020-03-15 16:45:00,2020-03-15 18:30:00,0,Intact,Male,Intact,Male,13101 Rochester Lane,Austin,TX,4,1
A815438,Unknown,Stray,Nursing,Cat,Domestic Shorthair,Brown Tabby,2020-03-12 00:00:00,0,2020-03-15 16:45:00,2020-03-15 18:28:00,0,Intact,Female,Intact,Female,13101 Rochester Lane,Austin,TX,4,1
A815435,Naomi,Stray,Normal,Dog,Dachshund,Red,2019-03-19 00:00:00,51,2020-03-15 16:10:00,2020-03-25 07:25:00,53,Intact,Female,Spayed,Female,1021 Kramer Lane,Austin,TX,36,1
A815429,Jake,Stray,Normal,Dog,Dachshund Wirehair Mix,Brown,2014-03-15 00:00:00,313,2020-03-15 16:02:00,2020-03-24 14:05:00,314,Neutered,Male,Neutered,Male,2300 Ih35,Austin,TX,244,1
A815427,Ash,Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Tortie,2018-03-15 00:00:00,104,2020-03-15 15:50:00,2020-03-18 13:36:00,104,Intact,Female,Intact,Female,Unknown address,Austin,TX,244,1
A815424,Unknown,Owner Surrender,Normal,Dog,Chihuahua Shorthair,Tricolor,2020-01-20 00:00:00,7,2020-03-15 15:01:00,2020-03-16 16:28:00,8,Intact,Female,Intact,Female,Unknown address,Austin,TX,28,1
A815423,Unknown,Owner Surrender,Normal,Dog,Chihuahua Shorthair,Tricolor,2020-01-20 00:00:00,7,2020-03-15 15:01:00,2020-03-16 18:12:00,8,Intact,Male,Intact,Male,Unknown address,Austin,TX,28,1
A815419,Unknown,Stray,Normal,Dog,Chihuahua Longhair,Tan,2019-03-15 00:00:00,52,2020-03-15 12:53:00,2020-03-20 13:48:00,53,Intact,Female,Intact,Female,2211 Santa Rita Street,Austin,TX,61,1
A815418,Unknown,Stray,Normal,Dog,Chihuahua Shorthair,Tan,2019-03-15 00:00:00,52,2020-03-15 12:53:00,2020-03-20 13:48:00,53,Intact,Female,Intact,Female,2211 Santa Rita Street,Austin,TX,61,1
A815417,Unknown,Stray,Normal,Dog,Chihuahua Shorthair,Black,2020-01-24 00:00:00,7,2020-03-15 12:45:00,2020-03-20 11:19:00,8,Intact,Female,Intact,Female,11025 Doyle Overton Road,Travis,TX,10,1
A815416,Unknown,Stray,Normal,Dog,Chihuahua Shorthair,Brown,2020-01-24 00:00:00,7,2020-03-15 12:45:00,2020-03-20 11:19:00,8,Intact,Female,Intact,Female,11025 Doyle Overton Road,Travis,TX,10,1
A815415,Unknown,Stray,Normal,Dog,Chihuahua Shorthair,Black,2020-01-24 00:00:00,7,2020-03-15 12:45:00,2020-03-20 11:19:00,8,Intact,Female,Intact,Female,11025 Doyle Overton Road,Travis,TX,10,1
A815414,Booties,Stray,Normal,Dog,Chihuahua Shorthair,Tan,2015-03-15 00:00:00,261,2020-03-15 12:45:00,2020-03-24 16:31:00,262,Intact,Female,Spayed,Female,11025 Doyle Overton Road,Travis,TX,183,1
A815412,Twinkle,Stray,Normal,Dog,Chihuahua Shorthair,Tan,2015-03-15 00:00:00,261,2020-03-15 12:45:00,2020-03-24 16:31:00,262,Intact,Female,Spayed,Female,11025 Doyle Overton Road,Travis,TX,183,1
A815411,Unknown,Stray,Normal,Cat,Domestic Medium Hair Mix,Calico,2018-03-15 00:00:00,104,2020-03-15 12:41:00,2020-03-27 14:40:00,106,Intact,Female,Intact,Female,15920 Stewart Road,Austin,TX,56,1
A815409,Milo,Stray,Normal,Cat,Domestic Shorthair,Orange Tabby,2010-03-15 00:00:00,521,2020-03-15 12:24:00,2020-03-15 17:44:00,521,Neutered,Male,Neutered,Male,Beard And Hendon,Austin,TX,3654,1
A815408,Unknown,Stray,Normal,Cat,Domestic Medium Hair,Black Smoke,2018-03-15 00:00:00,104,2020-03-15 12:02:00,2020-03-22 12:59:00,105,Unknown,Unknown,Unknown,Unknown,1407 Desert Quail Lane,Austin,TX,92,1
A815407,Pua,Stray,Injured,Dog,Chihuahua Shorthair,Tan,2017-03-15 00:00:00,156,2020-03-15 12:02:00,2020-03-20 13:27:00,157,Intact,Male,Intact,Male,509 Montopolis,Austin,TX,183,1
A815406,Unknown,Owner Surrender,Normal,Dog,Labrador Retriever Mix,Black,2019-12-31 00:00:00,10,2020-03-15 11:47:00,2020-03-16 16:32:00,10,Intact,Female,Spayed,Female,Unknown address,Austin,TX,38,1
A815405,Unknown,Owner Surrender,Normal,Dog,Labrador Retriever Mix,Black,2019-12-31 00:00:00,10,2020-03-15 11:47:00,2020-03-26 12:06:00,12,Intact,Male,Neutered,Male,Unknown address,Austin,TX,6,1
A815403,Unknown,Owner Surrender,Normal,Dog,Labrador Retriever Mix,Brown,2019-12-31 00:00:00,10,2020-03-15 11:47:00,2020-03-16 16:32:00,10,Intact,Female,Spayed,Female,Unknown address,Austin,TX,38,1
