Animal ID,Name_Intake,Intake Type,Intake Condition,Animal Type_Intake,Breed_Intake,Color_Intake,Date of Birth,Age upon Intake,DateTime_Intake,DateTime_Outcome,Age upon Outcome,Sex_Intake,Sex_State_Intake,Sex_Outcome,Sex_State_Outcome,found_Address_Line1,found_Address_City,found_Address_State,binary_outcome,recidence_Time_Ratio
A795378,Unknown,Stray,Normal,Dog,Chihuahua Shorthair,Brown,3/20/2019 0:00,8,5/20/2019 11:06,5/24/2019 17:07,9,Male,Intact,Male,Neutered,Blake Manor And Fm 969,Manor,TX,1,1222
A758269,Lucky,Stray,Normal,Dog,Australian Cattle Dog Mix,Brown,9/13/2015 0:00,104,9/13/2017 13:08,9/13/2017 16:19,104,Male,Intact,Male,Intact,Clifford Avenue And Martin Luther King Jr Blvd,Austin,TX,1,99
A777615,Peekaboo,Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,3/31/2018 0:00,17,7/31/2018 14:04,8/4/2018 16:04,18,Male,Intact,Male,Neutered,Unknown address,Austin,TX,1,1157
A800743,Audi Murphy,Stray,Sick,Cat,Domestic Shorthair,Orange,5/1/2007 0:00,638,7/26/2019 7:09,7/27/2019 16:39,638,Male,Neutered,Male,Neutered,Unknown address,Austin,TX,1,99
A796610,Hazel,Stray,Normal,Dog,Mastiff Mix,Tan,1/3/2019 0:00,21,6/3/2019 13:33,6/10/2019 16:45,22,Female,Intact,Female,Spayed,6212 Brown Lane,Austin,TX,1,1146
A790133,Alu,Owner Surrender,Normal,Dog,Labrador Retriever,Tan,3/5/2010 0:00,469,3/5/2019 13:52,1/3/2020 6:48,513,Male,Neutered,Male,Neutered,Unknown address,Austin,TX,1,48227
A718450,Kimbo,Stray,Normal,Dog,Labrador Retriever Mix,Black,10/15/2015 0:00,10,12/30/2015 13:53,1/23/2017 17:15,66,Male,Intact,Male,Neutered,7100 N Interstate Hwy 3,Austin,TX,1,366594
A729909,Khonzu,Stray,Normal,Dog,German Shepherd,Brown,5/11/2016 0:00,0,5/11/2016 12:50,7/6/2016 17:41,8,Male,Intact,Male,Neutered,7101 Ed Bluestein Blvd,Austin,TX,1,647999
A704988,Mia,Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,3/20/2015 0:00,11,6/11/2015 15:21,6/22/2015 16:07,13,Female,Intact,Female,Spayed,21306 Dodge Trl,Lago Vista,TX,1,2459
A723770,Red,Public Assist,Normal,Dog,Pit Bull Mix,White,10/8/2014 0:00,78,4/8/2016 10:37,4/15/2016 11:37,79,Male,Intact,Male,Intact,1205 Fort Branch,Austin,TX,1,1112
A772925,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Calico,4/25/2018 0:00,4,5/25/2018 7:46,5/25/2018 12:20,4,Female,Intact,Female,Intact,12034 Research Blvd,Austin,TX,1,97
A723199,Laurel,Stray,Normal,Dog,Siberian Husky Mix,Black,3/28/2007 0:00,469,3/28/2016 12:56,4/5/2016 17:16,470,Female,Intact,Female,Spayed,1156 W Cesar Chavez St,Austin,TX,1,1102
A715214,Unknown,Owner Surrender,Normal,Dog,Cocker Spaniel,Tan,9/2/2015 0:00,8,11/2/2015 11:01,11/4/2015 19:17,9,Female,Intact,Female,Spayed,Unknown address,Austin,TX,1,1222
A675807,Oreo,Stray,Normal,Dog,Cocker Spaniel,Black,4/1/2008 0:00,313,4/1/2014 13:26,4/4/2014 17:40,313,Male,Neutered,Male,Neutered,12512 Treeline,Austin,TX,1,99
A771993,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,5/13/2017 0:00,52,5/13/2018 12:54,5/16/2018 17:01,52,Unknown,Unknown,Unknown,Unknown,6009 Perlita Drive,Austin,TX,1,99
A765928,Unknown,Stray,Normal,Dog,Boxer Mix,White,12/3/2017 0:00,8,1/30/2018 11:08,2/3/2018 16:37,8,Female,Intact,Female,Spayed,East Springdale Road And Bolm Road,Austin,TX,1,98
A637464,Dukie,Stray,Normal,Dog,Pit Bull Mix,Chocolate,2/18/2012 0:00,376,5/4/2019 13:54,5/6/2019 16:24,376,Female,Spayed,Female,Spayed,13802 Dois D Arc,Manor,TX,1,99
A740768,Unknown,Wildlife,Normal,Other,Bat Mix,Brown,12/22/2014 0:00,104,12/22/2016 13:35,12/23/2016 8:27,104,Unknown,Unknown,Unknown,Unknown,2401 S Ih 35 Suite 210,Austin,TX,0,99
A742682,Unknown,Stray,Normal,Dog,Toy Poodle Mix,White,1/26/2016 0:00,52,1/26/2017 9:39,1/31/2017 12:24,53,Male,Intact,Male,Neutered,Blessing Ave And E St Johns Ave,Austin,TX,1,1119
A715668,Unknown,Wildlife,Injured,Bird,Pigeon Mix,Gray,11/7/2013 0:00,104,11/7/2015 17:14,11/7/2015 17:17,104,Unknown,Unknown,Unknown,Unknown,830 Bastrop Hwy,Austin,TX,0,99
A787591,Bo Peep,Stray,Injured,Dog,Clumber Spaniel Mix,White,1/16/2009 0:00,521,1/16/2019 13:00,2/6/2019 9:54,524,Female,Spayed,Female,Spayed,212 Perdenales St,Austin,TX,1,3117
A718225,Missy Santa,Stray,Normal,Dog,German Shepherd Mix,Black,12/25/2014 0:00,52,12/25/2015 16:00,12/31/2015 14:20,53,Female,Spayed,Female,Spayed,12400 Limerick,Austin,TX,1,1119
A670737,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Blue,9/13/2013 0:00,17,1/13/2014 13:04,1/19/2014 17:57,18,Female,Intact,Female,Spayed,301 Park Ln,Austin,TX,1,1157
A737099,Ava,Stray,Normal,Dog,Border Collie Mix,Black,1/22/2016 0:00,39,10/22/2016 11:15,10/22/2016 18:19,39,Female,Spayed,Female,Spayed,S Pleasant Valley Rd & Dove Springs Dr,Austin,TX,1,99
A810476,Max,Owner Surrender,Normal,Dog,Chihuahua Longhair,Brown,12/14/2018 0:00,52,12/14/2019 11:36,12/17/2019 16:13,52,Male,Neutered,Male,Neutered,Unknown address,Austin,TX,1,99
A737450,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,10/28/2015 0:00,52,10/28/2016 12:16,10/29/2016 9:00,52,Male,Intact,Male,Intact,1701 Inverness Blvd,Austin,TX,1,99
A676313,Petey,Stray,Normal,Dog,Jack Russell Terrier Mix,White,4/8/2007 0:00,365,4/8/2014 7:43,4/8/2014 10:35,365,Male,Neutered,Male,Neutered,Found At Harcourt/Cabana,Austin,TX,1,99
A755141,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Black,7/14/2017 0:00,2,7/29/2017 15:27,7/29/2017 16:36,2,Unknown,Unknown,Unknown,Unknown,7902 Marble Ridge,Austin,TX,1,95
A716064,Lady,Stray,Normal,Dog,Chihuahua Shorthair Mix,Tan,11/13/2010 0:00,260,11/13/2015 16:25,11/23/2015 0:00,262,Female,Intact,Female,Intact,Fireside And Hearthstone,Austin,TX,1,2115
A797187,Lulu,Owner Surrender,Normal,Dog,Anatol Shepherd Mix,Brown,3/10/2019 0:00,13,6/10/2019 15:13,6/13/2019 12:34,13,Female,Spayed,Female,Spayed,Unknown address,Austin,TX,1,99
A764152,Lala,Stray,Normal,Dog,American Bulldog Mix,Yellow Brindle,6/23/2015 0:00,130,12/22/2017 19:08,12/23/2017 15:38,130,Female,Spayed,Female,Spayed,King George And King Edward,Austin,TX,1,99
A751691,Meeko,Stray,Normal,Dog,Dachshund Mix,Black,6/11/2011 0:00,313,6/11/2017 12:22,6/16/2017 11:55,313,Male,Intact,Male,Neutered,Spicewood Springs Rd & Mcneil Dr,Austin,TX,1,99
A812362,Unknown,Stray,Normal,Dog,Chihuahua Shorthair Mix,Brown,1/21/2018 0:00,104,1/21/2020 12:40,1/25/2020 16:47,104,Male,Intact,Male,Neutered,6111 South Congress,Austin,TX,1,99
A689269,Mindy,Stray,Normal,Dog,Soft Coated Wheaten Terrier Mix,Tan,10/1/2012 0:00,104,10/1/2014 15:00,10/1/2014 16:52,104,Female,Spayed,Female,Spayed,Blue Bluff Rd Manor,Manor,TX,1,99
A693584,Diego,Stray,Normal,Dog,Yorkshire Terrier Mix,Blue,12/10/2007 0:00,365,12/10/2014 18:19,12/10/2014 19:23,365,Male,Neutered,Male,Neutered,Pearce Ln And Los Cielos Blvd,Del Valle,TX,0,99
A748820,Izzy,Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,4/4/2017 0:00,4,5/7/2017 13:47,6/2/2017 17:55,8,Female,Intact,Female,Spayed,9040 Elroy Road,Travis,TX,1,8000
A743167,Rocky,Stray,Normal,Dog,Pit Bull Mix,Black,12/5/2016 0:00,14,3/17/2017 12:11,3/20/2017 18:17,15,Male,Neutered,Male,Neutered,E 6Th St And Robert Martinez,Austin,TX,1,1170
A728935,Dory,Stray,Normal,Dog,Labrador Retriever Mix,Tan,6/11/2013 0:00,156,6/11/2016 11:34,7/19/2016 18:02,162,Female,Spayed,Female,Spayed,Fuchs Grove Rd And Gregg Manor Rd,Manor,TX,1,6330
A706911,Jazmin,Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Tortie,4/20/2015 0:00,12,7/18/2015 17:43,11/15/2019 14:10,238,Female,Spayed,Female,Spayed,Unknown address,Austin,TX,1,4447256
A717615,Lily,Stray,Normal,Dog,Pembroke Welsh Corgi Mix,Brown,12/11/2011 0:00,208,12/11/2015 13:23,12/12/2015 13:20,208,Female,Spayed,Female,Spayed,1306 Mckie Cove,Austin,TX,1,99
A776931,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Blue Tabby,4/29/2018 0:00,11,7/21/2018 11:13,8/5/2018 14:20,14,Female,Intact,Female,Intact,78601 Bock Road,Travis,TX,1,3909
A713195,Saya,Stray,Nursing,Cat,Domestic Shorthair Mix,Tortie,9/11/2015 0:00,3,10/3/2015 16:10,12/7/2015 14:19,12,Female,Intact,Female,Spayed,Betty Cook,Austin,TX,1,35225
A780141,Unknown,Owner Surrender,Normal,Dog,Australian Cattle Dog Mix,Tan,7/10/2018 0:00,8,9/10/2018 11:52,9/13/2018 11:00,9,Male,Intact,Male,Neutered,Unknown address,Del Valle,TX,1,1222
A757193,Buckwheat,Stray,Normal,Cat,Domestic Shorthair Mix,Blue Tabby,8/22/2017 0:00,1,8/31/2017 11:42,11/24/2017 14:29,13,Male,Intact,Male,Neutered,1817 East Oltorf,Austin,TX,1,142999
A637451,Panther,Stray,Normal,Cat,Domestic Shorthair Mix,Black,8/17/2012 0:00,300,5/22/2018 11:08,8/10/2018 16:45,312,Male,Neutered,Male,Neutered,717 Dulwich,Austin,TX,0,12579
A801208,Si,Owner Surrender,Normal,Cat,Siamese Mix,Seal Point,8/1/2018 0:00,52,8/1/2019 13:06,8/6/2019 12:00,52,Female,Intact,Female,Spayed,Unknown address,Austin,TX,1,99
A745158,Dash,Stray,Normal,Dog,Cardigan Welsh Corgi Mix,Tricolor,3/13/2016 0:00,169,6/10/2019 13:45,6/14/2019 14:06,169,Male,Neutered,Male,Neutered,1915 Wells Branch Parkway,Austin,TX,1,99
A791657,Bowie,Stray,Normal,Cat,Domestic Medium Hair Mix,Black,3/11/2019 0:00,2,3/29/2019 11:03,5/23/2019 8:52,10,Male,Intact,Male,Neutered,9121 Burklund Farms Road,Travis,TX,1,38571
A776357,Unknown,Stray,Normal,Dog,Chihuahua Shorthair Mix,Brown,7/12/2015 0:00,156,7/12/2018 12:46,7/18/2018 16:29,157,Female,Intact,Female,Spayed,7201 Levander Loop,Austin,TX,1,1106
A692032,Clementine,Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,10/13/2014 0:00,4,11/13/2014 15:05,1/31/2015 17:40,15,Female,Intact,Female,Spayed,7209 N Lamar Blvd,Austin,TX,1,40609
A718444,Rolf,Stray,Normal,Dog,Dachshund Mix,Black,12/30/2007 0:00,417,12/30/2015 12:30,1/4/2016 11:06,418,Male,Neutered,Male,Neutered,Hermitage Dr And Durham Dr,Austin,TX,1,1102
A706393,Charles,Stray,Normal,Cat,Domestic Medium Hair Mix,Blue Tabby,5/28/2015 0:00,4,6/28/2015 13:27,11/24/2015 11:58,25,Male,Intact,Male,Neutered,78725 Beauregaurd Cir,Austin,TX,1,128658
A736867,Koba,Owner Surrender,Sick,Dog,Miniature Poodle Mix,Cream,10/19/2001 0:00,782,10/18/2016 15:20,10/19/2016 17:16,782,Male,Neutered,Male,Neutered,Unknown address,Austin,TX,1,99
A679366,Unknown,Stray,Normal,Dog,Pit Bull Mix,Black,12/5/2013 0:00,23,5/20/2014 7:00,5/25/2014 17:45,24,Male,Intact,Male,Intact,4434 Frontier Trl,Austin,TX,1,1142
A796430,Scar,Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,5/10/2019 0:00,3,6/1/2019 16:07,7/24/2019 13:27,10,Male,Intact,Male,Neutered,333 East Slaughter Lane,Austin,TX,1,22903
A665793,Oreo,Owner Surrender,Normal,Dog,Australian Shepherd Mix,Black,1/22/2013 0:00,49,12/31/2013 16:56,1/6/2014 17:46,49,Female,Spayed,Female,Spayed,Unknown address,Austin,TX,1,99
A651015,Clifford,Stray,Normal,Dog,Golden Retriever,Tan,4/4/2010 0:00,223,7/18/2014 17:25,7/21/2014 11:16,224,Male,Intact,Male,Intact,Mercy Side,Pflugerville,TX,1,1104
A782802,Princess,Stray,Normal,Dog,Chihuahua Shorthair,Tan,10/21/2017 0:00,52,10/21/2018 13:16,10/21/2018 19:01,52,Female,Intact,Female,Intact,1100 Cumberland,Austin,TX,1,99
A777484,Dan Dan,Owner Surrender,Normal,Cat,Domestic Shorthair Mix,White,5/7/2018 0:00,11,7/29/2018 13:45,8/2/2018 17:57,12,Male,Intact,Male,Neutered,Unknown address,Austin,TX,1,1189
A749780,Toby,Stray,Normal,Dog,Dachshund Mix,Tan,1/19/2017 0:00,17,5/19/2017 13:57,5/23/2017 17:57,17,Male,Intact,Male,Neutered,3706 Goodwin Ave,Austin,TX,1,99
A781075,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Brown Tabby,5/24/2018 0:00,17,9/24/2018 12:11,10/21/2018 12:49,21,Male,Intact,Male,Neutered,15525 Fm 969,Austin,TX,1,5035
A703505,Unknown,Stray,Injured,Cat,Domestic Shorthair Mix,Brown Tabby,5/25/2013 0:00,104,5/25/2015 15:14,5/25/2015 15:26,104,Male,Intact,Male,Intact,6600 Fm 969,Austin,TX,0,99
A804711,Callie,Stray,Normal,Dog,Labrador Retriever Mix,Brown,9/17/2018 0:00,52,9/17/2019 18:40,12/26/2019 8:14,66,Female,Intact,Female,Spayed,500 E Anderson Ln,Austin,TX,1,17861
A732857,Travis,Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,6/28/2016 0:00,6,8/13/2016 18:04,9/10/2016 16:54,10,Male,Intact,Male,Neutered,6121 Saddler Ln,Austin,TX,1,6721
A800978,Junior Grande,Owner Surrender,Normal,Dog,Rat Terrier Mix,Black,7/29/2011 0:00,417,7/29/2019 15:21,7/30/2019 15:32,417,Male,Intact,Male,Intact,Unknown address,Austin,TX,1,99
A682849,Unknown,Stray,Normal,Dog,Chihuahua Shorthair Mix,Sable,4/30/2014 0:00,9,7/3/2014 17:31,7/7/2014 18:04,9,Male,Intact,Male,Neutered,E 3Rd St And Comal,Austin,TX,1,98
A754217,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Tortie,7/11/2017 0:00,0,7/17/2017 13:59,7/17/2017 17:35,0,Unknown,Unknown,Unknown,Unknown,2301 E St Elmo,Austin,TX,1,0
A796694,Burton,Public Assist,Normal,Dog,Pug,Brown,6/4/2012 0:00,365,6/4/2019 13:26,6/11/2019 15:09,366,Male,Intact,Male,Intact,3812 Southway Drive,Austin,TX,1,1102
A759062,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Black,8/29/2017 0:00,4,9/26/2017 12:30,10/3/2017 0:00,5,Male,Intact,Male,Intact,3601 South Congress Avenue,Austin,TX,1,1341
A803552,Tailz,Stray,Normal,Dog,Weimaraner,Gray,9/2/2017 0:00,104,9/2/2019 17:52,9/17/2019 14:55,106,Male,Intact,Male,Intact,1807 W Slaughter,Austin,TX,1,2138
A755337,Malibou,Public Assist,Normal,Dog,Pit Bull,Black Brindle,8/4/2008 0:00,470,8/7/2017 11:20,8/12/2017 17:42,470,Male,Intact,Male,Intact,Unknown address,Pflugerville,TX,1,99
A679782,Sunshine,Owner Surrender,Sick,Cat,Domestic Shorthair Mix,Blue Tabby,5/26/2012 0:00,107,6/20/2014 11:58,7/2/2014 14:39,109,Female,Spayed,Female,Spayed,Unknown address,Austin,TX,1,2137
A785624,Unknown,Stray,Injured,Dog,Chihuahua Shorthair Mix,Tan,10/17/2018 0:00,7,12/6/2018 11:45,12/26/2018 17:07,10,Female,Intact,Female,Spayed,10600 Thaxton,Austin,TX,1,4366
A729159,Unknown,Wildlife,Injured,Other,Opossum,Gray,12/14/2015 0:00,26,6/14/2016 11:53,6/14/2016 12:03,26,Unknown,Unknown,Unknown,Unknown,1314 Rosewood Ave,Austin,TX,0,99
A761255,Beau,Owner Surrender,Normal,Dog,Staffordshire Mix,Black,11/1/2016 0:00,57,12/8/2017 0:00,12/8/2017 13:50,57,Male,Neutered,Male,Neutered,Unknown address,Austin,TX,1,99
A768661,Unknown,Wildlife,Normal,Other,Bat,Brown,3/23/2016 0:00,104,3/23/2018 12:48,3/23/2018 17:58,104,Unknown,Unknown,Unknown,Unknown,14223 The Lakes Blvd,Austin,TX,0,99
A789066,Dodger,Stray,Normal,Dog,Doberman Pinsch Mix,Chocolate,2/13/2018 0:00,52,2/13/2019 19:03,2/15/2019 12:38,52,Male,Intact,Male,Intact,Viewpoint Drive,Austin,TX,1,99
A755832,Gandelf,Owner Surrender,Normal,Cat,Domestic Shorthair Mix,Black Tabby,8/9/2015 0:00,104,8/9/2017 15:28,8/17/2017 13:52,105,Male,Neutered,Male,Neutered,Unknown address,Austin,TX,1,1109
A718024,Snickerdood,Stray,Normal,Cat,Domestic Shorthair Mix,Cream Tabby,10/4/2015 0:00,10,12/19/2015 16:47,1/2/2016 18:11,12,Male,Intact,Male,Neutered,Daisy Dr And Pansy Trail,Austin,TX,1,2495
A759060,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Blue,8/29/2017 0:00,4,9/26/2017 12:30,10/3/2017 0:00,5,Female,Intact,Female,Intact,3601 South Congress Avenue,Austin,TX,1,1341
A734012,Harvey,Stray,Normal,Dog,Labrador Retriever Mix,Chocolate,8/31/2009 0:00,365,8/31/2016 11:19,12/12/2017 15:00,432,Male,Intact,Male,Neutered,2411 Patsy Pkwy,Austin,TX,1,79395
A743154,Dakota,Stray,Normal,Dog,Dachshund Longhair Mix,Brown,2/5/2011 0:00,313,2/4/2017 16:13,2/5/2017 11:16,313,Female,Spayed,Female,Spayed,Antique Finish Dr And Lantern Dr,Travis,TX,1,99
A702496,Murphy,Stray,Normal,Dog,Basset Hound Mix,Black,9/14/2014 0:00,34,5/14/2015 15:01,5/18/2015 18:22,35,Male,Intact,Male,Neutered,Santa Rosa And Robert Martinez,Austin,TX,1,1129
A609701,G-Man,Stray,Normal,Dog,Blue Lacy Mix,Blue,3/12/2010 0:00,300,12/16/2015 11:56,4/18/2016 0:00,318,Male,Neutered,Male,Neutered,Ross Rd And Gilwill,Travis,TX,1,19179
A796868,Blanco,Stray,Normal,Dog,Pit Bull Mix,White,10/22/2018 0:00,32,6/6/2019 13:28,6/10/2019 16:12,33,Male,Intact,Male,Intact,Dessau And Applegate,Austin,TX,1,1130
A792617,Guero,Public Assist,Normal,Dog,Jack Russell Terrier Mix,White,4/12/2016 0:00,156,4/12/2019 16:25,8/31/2019 14:05,176,Male,Intact,Male,Neutered,Unknown address,Austin,TX,1,22662
A752048,Unknown,Stray,Normal,Dog,Pomeranian,Black,6/17/2016 0:00,52,6/17/2017 11:24,6/21/2017 17:26,52,Male,Intact,Male,Neutered,Sherwood,Austin,TX,1,99
A778930,Unknown,Stray,Normal,Dog,Rhod Ridgeback Mix,Brown,8/22/2013 0:00,260,8/22/2018 17:43,8/26/2018 16:53,261,Male,Intact,Male,Neutered,Palm Way And Domain Drive,Austin,TX,1,1103
A752357,Nina,Stray,Normal,Cat,Domestic Shorthair Mix,Torbie,4/21/2017 0:00,8,6/21/2017 13:36,7/2/2017 15:25,10,Female,Intact,Female,Spayed,3003 Catalinda Dr,Austin,TX,1,2592
A775140,Bain,Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,4/10/2018 0:00,10,6/25/2018 13:45,7/28/2018 13:57,15,Male,Intact,Male,Intact,2005 Paloduro Road,Austin,TX,1,7574
A694899,Unknown,Stray,Nursing,Dog,Pit Bull Mix,Black,12/22/2014 0:00,2,1/6/2015 11:35,1/8/2015 12:38,2,Male,Intact,Male,Intact,11604 Loweswater,Austin,TX,1,95
A691604,Unknown,Stray,Normal,Dog,Toy Poodle Mix,White,11/7/2013 0:00,52,11/7/2014 11:57,11/15/2014 11:40,53,Female,Intact,Female,Spayed,8401 Colony Loop,Austin,TX,1,1119
A788447,Sven,Stray,Normal,Dog,Black,Black,2/2/2016 0:00,156,2/2/2019 14:50,2/13/2019 17:00,158,Male,Intact,Male,Intact,5300 South Mopac,Austin,TX,1,2125
A745943,Maya,Owner Surrender,Normal,Other,Guinea Pig,Black,2/19/2017 0:00,5,3/26/2017 17:50,3/27/2017 12:56,5,Female,Intact,Female,Intact,Unknown address,Travis,TX,1,98
A719262,Nia,Stray,Normal,Dog,American Bulldog Mix,White,1/16/2008 0:00,417,1/16/2016 13:31,1/17/2016 14:44,417,Female,Spayed,Female,Spayed,301 E. Longspur Blvd.,Austin,TX,1,99
A747619,Caster,Stray,Normal,Dog,Shih Tzu Mix,White,4/22/2015 0:00,104,4/22/2017 12:42,4/26/2017 16:22,105,Male,Intact,Male,Neutered,Tobler Trl And Deupree Dr,Austin,TX,1,1109
A791077,Archie,Stray,Normal,Cat,Domestic Shorthair Mix,Orange Tabby,2/14/2019 0:00,5,3/21/2019 10:37,4/25/2019 8:07,10,Male,Intact,Male,Neutered,8868 Research Boulevard,Austin,TX,1,10000
A799181,Blossom,Owner Surrender,Normal,Cat,Domestic Shorthair,White,7/14/2018 0:00,58,8/24/2019 15:37,11/18/2019 15:11,70,Female,Spayed,Female,Spayed,Unknown address,Austin,TX,1,14578
A794581,Lucy,Stray,Nursing,Cat,Domestic Shorthair,Brown Tabby,4/9/2019 0:00,4,5/9/2019 17:42,7/1/2019 17:14,11,Female,Intact,Female,Intact,6106 Sadler Ln,Austin,TX,1,19048
A746725,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Blue,3/17/2017 0:00,3,4/8/2017 11:28,4/8/2017 11:42,3,Unknown,Unknown,Unknown,Unknown,Unknown address,Austin,TX,0,96
A788410,Champ,Stray,Injured,Dog,Bull Terrier,White,2/2/2015 0:00,208,2/2/2019 0:38,2/2/2019 12:04,208,Male,Intact,Male,Intact,8207 Beaver Brook Ln,Austin,TX,1,99
A712544,Alex,Stray,Normal,Cat,Domestic Shorthair Mix,Orange,7/30/2015 0:00,8,9/24/2015 18:21,10/11/2015 17:40,10,Male,Intact,Male,Neutered,18100 Maxa Dr,Manor,TX,1,2592
A779650,Unknown,Stray,Normal,Dog,Australian Cattle Dog Mix,Tricolor,1/4/2018 0:00,34,9/4/2018 12:03,9/11/2018 14:40,35,Female,Intact,Female,Spayed,2200 Garden Street,Austin,TX,1,1129
A766772,Gavin,Stray,Normal,Dog,German Shepherd Mix,Black,2/16/2016 0:00,104,2/16/2018 12:10,4/6/2018 12:12,111,Male,Neutered,Male,Neutered,11209 River Plantation,Austin,TX,1,7570
A803871,Unknown,Stray,Normal,Cat,Domestic Shorthair Mix,Black,7/16/2019 0:00,7,9/7/2019 14:32,9/19/2019 17:16,9,Male,Intact,Male,Intact,12345 North Lamar,Austin,TX,1,2661
A681931,Heather,Stray,Normal,Cat,Domestic Shorthair Mix,Tortie,5/6/2014 0:00,6,6/21/2014 16:16,7/8/2014 15:40,9,Female,Intact,Female,Intact,9102 Happy Trl,Austin,TX,1,4573
A794701,Cheeta,Owner Surrender,Normal,Dog,Pit Bull,Black Brindle,12/11/2018 0:00,21,5/11/2019 11:43,5/14/2019 17:51,22,Female,Intact,Female,Intact,4311 Shallow Brook Trail,Austin,TX,1,1146
A773957,Bear,Stray,Normal,Dog,Black Mouth Cur Mix,Brown,12/8/2017 0:00,26,6/8/2018 11:57,8/29/2018 18:50,37,Male,Intact,Male,Intact,5508 Manowar Drive,Travis,TX,1,15735
A732531,Gonzo,Stray,Normal,Dog,Chihuahua Shorthair Mix,Red,11/1/2014 0:00,92,8/9/2016 13:07,8/13/2016 13:56,93,Male,Neutered,Male,Neutered,19089 Lakehurst Loop,Travis,TX,1,1110
